surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
16049	15313	28	41
16051	15315	761	816
16055	15319	1178	1238
16056	15320	2182	2258
16057	15321	276	312
16059	15323	1705	1772
16060	15324	1329	1391
16062	15326	3184	3268
16068	15332	1653	1720
16069	15333	439	483
16074	15338	3936	4027
16077	15340	2791	2873
16078	15341	1903	1974
16079	15342	2833	2915
16085	15348	415	458
16086	15349	514	559
16087	15350	4131	4222
16090	15353	1551	1618
16091	15354	2385	2463
16092	15355	632	684
16095	15358	227	260
16096	15359	768	823
16097	15360	164	193
16100	15363	1635	1702
16103	15366	7489	7591
16107	15370	715	768
16110	15373	490	535
16119	15382	1792	1861
16123	15385	4247	4338
16126	15388	912	968
16133	15394	1833	1903
16136	15396	1150	1209
16137	15397	575	627
16143	15403	437	481
16144	15404	1784	1852
16147	15407	2222	2299
16152	15412	1495	1561
16153	15413	765	820
16154	15414	389	432
16155	15415	342	383
16157	15417	957	1014
16160	15420	284	322
16161	15421	984	1041
16165	15424	1074	1131
16168	15427	941	998
16169	15428	178	208
16170	15428	1508	1574
16172	15430	1025	1082
16177	15435	488	533
16178	15436	694	747
16189	15447	314	354
16195	15453	278	314
16199	15457	1181	1241
16202	15460	1018	1075
16203	15461	2614	2695
16209	15466	1622	1689
16211	15468	826	881
16212	15469	3069	3152
16215	15472	1635	1702
16219	15476	487	532
16224	15481	2222	2299
16226	15483	343	384
16235	15491	1817	1886
16236	15491	130	157
